web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715355506-32","https://infinitediscs.com/brand/discmania","CD2","https://infinitediscs.com/discmania-cd2","CD2","Discmania","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Intermediate","9.0/5.0/-1.0/2.0","9.1/5/-1/2","(49 Reviews)","4.78"
"1715355511-33","https://infinitediscs.com/brand/discmania","CD1","https://infinitediscs.com/discmania-cd1","CD1","Discmania","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","9.0/5.0/-1.0/2.0","9.1/5/-1/2","(5 Reviews)","4.6"
"1715355515-34","https://infinitediscs.com/brand/discmania","TD","https://infinitediscs.com/discmania-td-rush","TD","Discmania","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Intermediate","10.0/5.0/-2.0/1.0","9.9/5.5/-1.7/1.1","(25 Reviews)","4.42"
"1715355519-35","https://infinitediscs.com/brand/discmania","PD","https://infinitediscs.com/discmania-pd-freak","PD","Discmania","Primary Use: Distance Driver, Control Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","10.0/4.0/0.0/3.0","9.9/4.1/0/3","(89 Reviews)","4.71"
"1715355525-36","https://infinitediscs.com/brand/discmania","Paradigm","https://infinitediscs.com/discmania-paradigm","Paradigm","Discmania","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","12.0/6.0/-1.5/2.0","11.8/5.5/-1.6/2.1","(6 Reviews)","3.92"
"1715355530-37","https://infinitediscs.com/brand/discmania","Mentor","https://infinitediscs.com/discmania-mentor","Mentor","Discmania","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Beginner, Intermediate","11.0/5.0/-2.0/2.0","11/5/-1.7/2","(23 Reviews)","3.96"
"1715355534-38","https://infinitediscs.com/brand/discmania","Majesty","https://infinitediscs.com/discmania-majesty","Majesty","Discmania","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","13.0/5.0/-2.0/2.0","13/4.7/-1.7/2.6","(13 Reviews)","3.38"
"1715355538-39","https://infinitediscs.com/brand/discmania","Enigma","https://infinitediscs.com/discmania-evolution-enigma","Enigma","Discmania","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Advanced","12.0/5.0/-1.0/2.0","12/5.1/-1.1/2.1","(62 Reviews)","4.74"
"1715355543-40","https://infinitediscs.com/brand/discmania","DD3","https://infinitediscs.com/discmania-dd3","DD3","Discmania","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","12.0/5.0/-1.0/3.0","12/5/-1/2.9","(39 Reviews)","4.64"
"1715355550-41","https://infinitediscs.com/brand/discmania","DD1","https://infinitediscs.com/discmania-dd1","DD1","Discmania","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Beginner, Intermediate, Advanced, Everyone","11.0/5.0/-1.0/2.0","11/4.9/-1/2","(5 Reviews)","4.7"
"1715355555-42","https://infinitediscs.com/brand/discmania","DD","https://infinitediscs.com/discmania-dd-hysteria","DD","Discmania","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Everyone","11.0/6.0/-3.0/2.0","11/6/-3/2","(4 Reviews)","4.5"
"1715355564-43","https://infinitediscs.com/brand/discmania","Cloud Breaker","https://infinitediscs.com/discmania-cloudbreaker","Cloud Breaker","Discmania","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","12.0/5.0/-1.0/3.0","12/4.9/-0.9/3","(15 Reviews)","4.5"
"1715355569-44","https://infinitediscs.com/brand/discmania","CD3","https://infinitediscs.com/discmania-cd3","CD3","Discmania","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Beginner, Intermediate, Advanced, Everyone","11.0/5.0/-1.0/2.0","10.9/5/-1/2.1","(24 Reviews)","4.25"
"1715355574-45","https://infinitediscs.com/brand/discmania","Astronaut","https://infinitediscs.com/discmania-astronaut","Astronaut","Discmania","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Everyone","12.0/6.0/-4.0/1.0","12/5.9/-3.8/1.1","(16 Reviews)","4.19"
