web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715352839-1","https://infinitediscs.com/brand/finish-line-discs","Pace","https://infinitediscs.com/finish-line-discs-pace","Pace","Finish Line Discs","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.5","2.1/4/0/1.6","(5 Reviews)","5"
"1715352844-2","https://infinitediscs.com/brand/finish-line-discs","Supra","https://infinitediscs.com/finish-line-discs-supra","Supra","Finish Line Discs","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/0.0/1.0","5/4.9/-0.6/0.9","(15 Reviews)","4.3"
"1715352848-3","https://infinitediscs.com/brand/finish-line-discs","Torque","https://infinitediscs.com/finish-line-discs-torque","Torque","Finish Line Discs","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","8.0/4.0/0.0/2.5","8/4/0/2.5","(7 Reviews)","4.36"
"1715352853-4","https://infinitediscs.com/brand/finish-line-discs","Rally","https://infinitediscs.com/finish-line-discs-rally","Rally","Finish Line Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","8.0/5.0/-1.0/2.0","7.9/4.9/-0.8/1.9","(10 Reviews)","4.05"
"1715352859-5","https://infinitediscs.com/brand/finish-line-discs","Era","https://infinitediscs.com/finish-line-discs-era","Era","Finish Line Discs","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","10.0/5.0/-1.0/1.5","10/5.1/-1/1.5","(54 Reviews)","4.57"
"1715352863-6","https://infinitediscs.com/brand/finish-line-discs","Interval","https://infinitediscs.com/finish-line-discs-interval","Interval","Finish Line Discs","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Advanced","12.0/5.0/-1.0/2.0","11.9/5/-0.9/2.1","(20 Reviews)","4.68"
"1715352868-7","https://infinitediscs.com/brand/finish-line-discs","Daytona","https://infinitediscs.com/finish-line-discs-daytona","Daytona","Finish Line Discs","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level: Advanced","12.0/4.0/0.0/3.0","12/4/-0.1/3","(13 Reviews)","4.77"
