web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DiscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715352892-1","https://infinitediscs.com/brand/jester-disc-golf","Love","https://infinitediscs.com/jester-disc-golf-love","Love","Jester Disc Golf","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2.1/3/-0.1/1","(1 Reviews)","5"
"1715352896-2","https://infinitediscs.com/brand/jester-disc-golf","Peace Train","https://infinitediscs.com/jester-disc-golf-peace-train","Peace Train","Jester Disc Golf","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","5.0/4.0/-2.0/1.0","5/4/-2/1.1","(2 Reviews)","4"
"1715352901-3","https://infinitediscs.com/brand/jester-disc-golf","Dream Weaver","https://infinitediscs.com/jester-disc-golf-dream-weaver","Dream Weaver","Jester Disc Golf","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Everyone","7.0/5.0/-1.0/1.5","7/5/-1/1.4","(2 Reviews)","3.5"
